lost_track_buffer,frame_rate,track_activation_threshold,minimum_consecutive_frames,minimum_iou_threshold,high_conf_det_threshold,HOTA,IDF1,MOTA
10,30.0,0.9,2,0.1,0.6,0.8584326219578026,0.805856220346742,0.9824789018311001
10,30.0,0.9,2,0.1,0.7,0.8584326219578026,0.805856220346742,0.9824789018311001
10,30.0,0.9,2,0.3,0.5,0.8411924535119655,0.7870678012445004,0.9670110040627448
10,30.0,0.9,2,0.3,0.6,0.8411924535119655,0.7870678012445004,0.9670110040627448
10,30.0,0.9,2,0.3,0.7,0.8411924535119655,0.7870678012445004,0.9670110040627448
10,30.0,0.9,3,0.1,0.5,0.8565072500456349,0.8068552729796804,0.9782565395455947
10,30.0,0.9,3,0.1,0.6,0.8565072500456349,0.8068552729796804,0.9782565395455947
10,30.0,0.9,3,0.1,0.7,0.8565072500456349,0.8068552729796804,0.9782565395455947
10,30.0,0.9,3,0.3,0.5,0.8392091085303138,0.7892504085746902,0.9622497619378938
10,30.0,0.9,3,0.3,0.6,0.8392091085303138,0.7892504085746902,0.9622497619378938
10,30.0,0.9,3,0.3,0.7,0.8392091085303138,0.7892504085746902,0.9622497619378938
30,25.0,0.5,2,0.1,0.5,0.8590119614349172,0.8066038609911419,0.9824802660838579
30,25.0,0.5,2,0.1,0.6,0.8590119614349172,0.8066038609911419,0.9824802660838579
30,25.0,0.5,2,0.1,0.7,0.8590119614349172,0.8066038609911419,0.9824802660838579
30,25.0,0.5,2,0.3,0.5,0.8413424270299789,0.7874105885277141,0.9668759430397189
30,25.0,0.5,2,0.3,0.6,0.8413424270299789,0.7874105885277141,0.9668759430397189
30,25.0,0.5,2,0.3,0.7,0.8413424270299789,0.7874105885277141,0.9668759430397189
30,25.0,0.5,3,0.1,0.5,0.857104210216817,0.8076323998264737,0.9782783675897201
30,25.0,0.5,3,0.1,0.6,0.857104210216817,0.8076323998264737,0.9782783675897201
30,25.0,0.5,3,0.1,0.7,0.857104210216817,0.8076323998264737,0.9782783675897201
30,25.0,0.5,3,0.3,0.5,0.8394315317088313,0.7896342796312887,0.9622033773441273
30,25.0,0.5,3,0.3,0.6,0.8394315317088313,0.7896342796312887,0.9622033773441273
30,25.0,0.5,3,0.3,0.7,0.8394315317088313,0.7896342796312887,0.9622033773441273
30,25.0,0.7,2,0.1,0.5,0.8590119614349172,0.8066038609911419,0.9824802660838579
30,25.0,0.7,2,0.1,0.6,0.8590119614349172,0.8066038609911419,0.9824802660838579
30,25.0,0.7,2,0.1,0.7,0.8590119614349172,0.8066038609911419,0.9824802660838579
30,25.0,0.7,2,0.3,0.5,0.8413424270299789,0.7874105885277141,0.9668759430397189
30,25.0,0.7,2,0.3,0.6,0.8413424270299789,0.7874105885277141,0.9668759430397189
30,25.0,0.7,2,0.3,0.7,0.8413424270299789,0.7874105885277141,0.9668759430397189
30,25.0,0.7,3,0.1,0.5,0.857104210216817,0.8076323998264737,0.9782783675897201
30,25.0,0.7,3,0.1,0.6,0.857104210216817,0.8076323998264737,0.9782783675897201
30,25.0,0.7,3,0.1,0.7,0.857104210216817,0.8076323998264737,0.9782783675897201
30,25.0,0.7,3,0.3,0.5,0.8394315317088313,0.7896342796312887,0.9622033773441273
30,25.0,0.7,3,0.3,0.6,0.8394315317088313,0.7896342796312887,0.9622033773441273
30,25.0,0.7,3,0.3,0.7,0.8394315317088313,0.7896342796312887,0.9622033773441273
30,25.0,0.9,2,0.1,0.5,0.8590119614349172,0.8066038609911419,0.9824802660838579
30,25.0,0.9,2,0.1,0.6,0.8590119614349172,0.8066038609911419,0.9824802660838579
30,25.0,0.9,2,0.1,0.7,0.8590119614349172,0.8066038609911419,0.9824802660838579
30,25.0,0.9,2,0.3,0.5,0.8413424270299789,0.7874105885277141,0.9668759430397189
30,25.0,0.9,2,0.3,0.6,0.8413424270299789,0.7874105885277141,0.9668759430397189
30,25.0,0.9,2,0.3,0.7,0.8413424270299789,0.7874105885277141,0.9668759430397189
30,25.0,0.9,3,0.1,0.5,0.857104210216817,0.8076323998264737,0.9782783675897201
30,25.0,0.9,3,0.1,0.6,0.857104210216817,0.8076323998264737,0.9782783675897201
30,25.0,0.9,3,0.1,0.7,0.857104210216817,0.8076323998264737,0.9782783675897201
30,25.0,0.9,3,0.3,0.5,0.8394315317088313,0.7896342796312887,0.9622033773441273
30,25.0,0.9,3,0.3,0.6,0.8394315317088313,0.7896342796312887,0.9622033773441273
30,25.0,0.9,3,0.3,0.7,0.8394315317088313,0.7896342796312887,0.9622033773441273
30,30.0,0.5,2,0.1,0.5,0.8589977454399332,0.8065662697320606,0.9824516167759433
30,30.0,0.5,2,0.1,0.6,0.8589977454399332,0.8065662697320606,0.9824516167759433
30,30.0,0.5,2,0.1,0.7,0.8589977454399332,0.8065662697320606,0.9824516167759433
30,30.0,0.5,2,0.3,0.5,0.8412587970073805,0.7872924648345829,0.9668636647648983
30,30.0,0.5,2,0.3,0.6,0.8412587970073805,0.7872924648345829,0.9668636647648983
30,30.0,0.5,2,0.3,0.7,0.8412587970073805,0.7872924648345829,0.9668636647648983
30,30.0,0.5,3,0.1,0.5,0.8571272072863555,0.8076301753023273,0.9782865531062671
30,30.0,0.5,3,0.1,0.6,0.8571272072863555,0.8076301753023273,0.9782865531062671
30,30.0,0.5,3,0.1,0.7,0.8571272072863555,0.8076301753023273,0.9782865531062671
30,30.0,0.5,3,0.3,0.5,0.8393531428773185,0.7895257671291624,0.9622020130913694
30,30.0,0.5,3,0.3,0.6,0.8393531428773185,0.7895257671291624,0.9622020130913694
30,30.0,0.5,3,0.3,0.7,0.8393531428773185,0.7895257671291624,0.9622020130913694
30,30.0,0.7,2,0.1,0.5,0.8589977454399332,0.8065662697320606,0.9824516167759433
30,30.0,0.7,2,0.1,0.6,0.8589977454399332,0.8065662697320606,0.9824516167759433
30,30.0,0.7,2,0.1,0.7,0.8589977454399332,0.8065662697320606,0.9824516167759433
30,30.0,0.7,2,0.3,0.5,0.8412587970073805,0.7872924648345829,0.9668636647648983
30,30.0,0.7,2,0.3,0.6,0.8412587970073805,0.7872924648345829,0.9668636647648983
30,30.0,0.7,2,0.3,0.7,0.8412587970073805,0.7872924648345829,0.9668636647648983
30,30.0,0.7,3,0.1,0.5,0.8571272072863555,0.8076301753023273,0.9782865531062671
30,30.0,0.7,3,0.1,0.6,0.8571272072863555,0.8076301753023273,0.9782865531062671
30,30.0,0.7,3,0.1,0.7,0.8571272072863555,0.8076301753023273,0.9782865531062671
30,30.0,0.7,3,0.3,0.5,0.8393531428773185,0.7895257671291624,0.9622020130913694
30,30.0,0.7,3,0.3,0.6,0.8393531428773185,0.7895257671291624,0.9622020130913694
30,30.0,0.7,3,0.3,0.7,0.8393531428773185,0.7895257671291624,0.9622020130913694
30,30.0,0.9,2,0.1,0.5,0.8589977454399332,0.8065662697320606,0.9824516167759433
30,30.0,0.9,2,0.1,0.6,0.8589977454399332,0.8065662697320606,0.9824516167759433
30,30.0,0.9,2,0.1,0.7,0.8589977454399332,0.8065662697320606,0.9824516167759433
30,30.0,0.9,2,0.3,0.5,0.8412587970073805,0.7872924648345829,0.9668636647648983
30,30.0,0.9,2,0.3,0.6,0.8412587970073805,0.7872924648345829,0.9668636647648983
30,30.0,0.9,2,0.3,0.7,0.8412587970073805,0.7872924648345829,0.9668636647648983
30,30.0,0.9,3,0.1,0.5,0.8571272072863555,0.8076301753023273,0.9782865531062671
30,30.0,0.9,3,0.1,0.6,0.8571272072863555,0.8076301753023273,0.9782865531062671
30,30.0,0.9,3,0.1,0.7,0.8571272072863555,0.8076301753023273,0.9782865531062671
30,30.0,0.9,3,0.3,0.5,0.8393531428773185,0.7895257671291624,0.9622020130913694
30,30.0,0.9,3,0.3,0.6,0.8393531428773185,0.7895257671291624,0.9622020130913694
30,30.0,0.9,3,0.3,0.7,0.8393531428773185,0.7895257671291624,0.9622020130913694
60,25.0,0.5,2,0.1,0.5,0.858754628734029,0.8063507270984076,0.9824393385011227
60,25.0,0.5,2,0.1,0.6,0.858754628734029,0.8063507270984076,0.9824393385011227
60,25.0,0.5,2,0.1,0.7,0.858754628734029,0.8063507270984076,0.9824393385011227
60,25.0,0.5,2,0.3,0.5,0.8411866215148884,0.7872758642830661,0.9668677575231718
60,25.0,0.5,2,0.3,0.6,0.8411866215148884,0.7872758642830661,0.9668677575231718
60,25.0,0.5,2,0.3,0.7,0.8411866215148884,0.7872758642830661,0.9668677575231718
60,25.0,0.5,3,0.1,0.5,0.8568967040479268,0.8074213730807209,0.9782865531062671
60,25.0,0.5,3,0.1,0.6,0.8568967040479268,0.8074213730807209,0.9782865531062671
60,25.0,0.5,3,0.1,0.7,0.8568967040479268,0.8074213730807209,0.9782865531062671
60,25.0,0.5,3,0.3,0.5,0.8392932005267192,0.7895286156032622,0.9622115628606743
60,25.0,0.5,3,0.3,0.6,0.8392932005267192,0.7895286156032622,0.9622115628606743
60,25.0,0.5,3,0.3,0.7,0.8392932005267192,0.7895286156032622,0.9622115628606743
60,25.0,0.7,2,0.1,0.5,0.858754628734029,0.8063507270984076,0.9824393385011227
60,25.0,0.7,2,0.1,0.6,0.858754628734029,0.8063507270984076,0.9824393385011227
60,25.0,0.7,2,0.1,0.7,0.858754628734029,0.8063507270984076,0.9824393385011227
60,25.0,0.7,2,0.3,0.5,0.8411866215148884,0.7872758642830661,0.9668677575231718
60,25.0,0.7,2,0.3,0.6,0.8411866215148884,0.7872758642830661,0.9668677575231718
60,25.0,0.7,2,0.3,0.7,0.8411866215148884,0.7872758642830661,0.9668677575231718
60,25.0,0.7,3,0.1,0.5,0.8568967040479268,0.8074213730807209,0.9782865531062671
60,25.0,0.7,3,0.1,0.6,0.8568967040479268,0.8074213730807209,0.9782865531062671
60,25.0,0.7,3,0.1,0.7,0.8568967040479268,0.8074213730807209,0.9782865531062671
60,25.0,0.7,3,0.3,0.5,0.8392932005267192,0.7895286156032622,0.9622115628606743
60,25.0,0.7,3,0.3,0.6,0.8392932005267192,0.7895286156032622,0.9622115628606743
60,25.0,0.7,3,0.3,0.7,0.8392932005267192,0.7895286156032622,0.9622115628606743
60,25.0,0.9,2,0.1,0.5,0.858754628734029,0.8063507270984076,0.9824393385011227
60,25.0,0.9,2,0.1,0.6,0.858754628734029,0.8063507270984076,0.9824393385011227
60,25.0,0.9,2,0.1,0.7,0.858754628734029,0.8063507270984076,0.9824393385011227
60,25.0,0.9,2,0.3,0.5,0.8411866215148884,0.7872758642830661,0.9668677575231718
60,25.0,0.9,2,0.3,0.6,0.8411866215148884,0.7872758642830661,0.9668677575231718
60,25.0,0.9,2,0.3,0.7,0.8411866215148884,0.7872758642830661,0.9668677575231718
60,25.0,0.9,3,0.1,0.5,0.8568967040479268,0.8074213730807209,0.9782865531062671
60,25.0,0.9,3,0.1,0.6,0.8568967040479268,0.8074213730807209,0.9782865531062671
60,25.0,0.9,3,0.1,0.7,0.8568967040479268,0.8074213730807209,0.9782865531062671
60,25.0,0.9,3,0.3,0.5,0.8392932005267192,0.7895286156032622,0.9622115628606743
